Country_Name,Country_code,Year,log_gdp_per_capita,annual_inflation,change_in_volume_of_imports,change_in_volume_of_exports,unemployment_rate,gov_revenue_per_GDP,log_gov_expenditure_per_GDP,gov_lending_minus_borrowing_per_GDP,gov_net_debt_per_GDP,exports_minus_imports_per_GDP,log10_share_world_GDP,
Iran Islamic Rep.,IRN,2025,3.914635585866113,25,3.361,2.822,13.763,12.24,1.2986566173911456,-3.44,38.419,0.569,0.10171766839392611,
Iraq,IRQ,2025,3.7094709453066996,1.8,4.327500000000001,4.638,9.305,32.834,1.6033284484720063,-5.11,64.471,-7.517,-0.3968954286652081,
Ireland,IRL,2025,5.0082723260265976,2,5,4.5,5.302,23.656,1.372119981938335,1.059,50.988,5.507,-0.010196721162933763,
Isle of Man,IMY,2025,4.393464114959287,1.954,4.42,4.4879999999999995,6.232,40.771,1.6388884247050755,-0.312,49.053,-1.115,-0.7832711637192078,
Israel,ISR,2025,4.6651362446775515,0.665,4.6,3.7,4.721,35.285,1.6040639726638901,-2.755,79.703,3.217,-0.08412859342235333,
Italy,ITA,2025,4.578821483723238,1.048,4.044,3.626,10.3,47.491,1.7005479660988547,0.335,143.364,2.994,0.5962941630477243,
Jamaica,JAM,2025,3.7991943813188915,5.3,12.131,19.676,8.326,29.14,1.458123944661062,5.44,54.8855,-3.306,-1.5092178405091452,
Japan,JPN,2025,4.6560493051795655,0.774,2.231,2.893,2.333,34.64,1.5730109256733864,-2.786,178.508,3.028,0.9974744019921655,
Jordan,JOR,2025,3.6764594846605396,2.517,2.788,4.832,9.305,25.31,1.4888749062850248,-1.551,86.038,-3.803,-1.035596820277181,
Kazakhstan,KAZ,2025,4.0556183503676175,4.507,4.913,8.238,4.779,18.466,1.3008562431183937,-1.459,-2.875,-1.973,-0.361301269346005,
Kenya,KEN,2025,3.370561197954504,5.011,7.983,8.362,9.305,16.504,1.381277572151482,-3.354,71.764,-5.826,-0.6323792589977828,
Kiribati,KIR,2025,3.2785798484072415,2.187,2.058,4.524,5.253,99.976,1.9934803190699966,2.01,47.248,8.434,-3.3734692758858635,
Korea Dem.Rep.,PRK,2025,3.6767548636844976,3.082,5.016,6.488,3.9684999999999997,20.686,1.3607637659541545,-2.501,35.7815,-1.973,-0.5046446687363084,
Korea Rep.,KOR,2025,4.552456613280923,1.3,3.914,3.819,4,22.923,1.4084265361413357,-2.773,28.809,3.984,0.5258253038786274,
